ëÅEEPROM
Saved flight state: 0
Saved baseline: 988.13
TIME,TEMPERATURE, PRESSURE, ALTITUDE, LATITUDE, LONGITUDE, ANGLE, GPS_ALTX, Y, Z, SWC, SWP, TURN, FLIGHT_STATE
135464,18.00,989.87,2.73,34.7259674,86.6398086,0.0000000,207.20,344.2500,86.2500,176.2500,1,1,2,0
136541,18.00,989.96,1.96,34.7259674,86.6398086,0.0000000,207.20,345.3125,87.1250,177.1875,1,1,2,0
137617,18.00,989.86,2.81,34.7259674,86.6398086,0.0000000,207.20,345.0000,86.8125,176.8750,1,1,2,0
138693,18.00,989.88,2.64,34.7259674,86.6398086,0.0000000,207.20,344.9375,86.6875,176.8125,1,1,2,0
139769,18.00,989.88,2.64,34.7259674,86.6398086,0.0000000,207.20,344.4375,86.2500,176.3125,1,1,2,0
140847,18.00,989.89,2.56,34.7259712,86.6398086,0.0000000,207.20,344.6875,86.1875,176.2500,1,1,2,0
141924,18.00,989.88,2.64,34.7259712,86.6398086,0.0000000,207.20,345.1250,87.1250,177.1875,1,1,2,0
143069,18.00,989.95,2.05,34.7259712,86.6398086,0.0000000,207.20,344.7500,87.1875,177.2500,1,1,2,0
144145,18.00,989.89,2.56,34.7259712,86.6398086,0.0000000,207.20,343.9375,86.3750,176.3750,1,1,2,0
145220,18.00,989.95,2.05,34.7259712,86.6398086,0.0000000,207.20,343.8125,86.1875,176.2500,1,1,2,0
146296,18.10,989.89,2.56,34.7259712,86.6398086,0.0000000,207.20,343.8125,86.1875,176.2500,1,1,2,0
147374,18.10,989.92,2.30,34.7259674,86.6398086,0.0000000,207.20,344.0625,86.5000,176.5000,1,1,2,0
148451,18.10,990.00,1.62,34.7259674,86.6398086,0.0000000,207.20,343.8750,86.2500,176.3125,1,1,2,0
149059,18.10,989.99,1.70,34.7259674,86.6398086,0.0000000,207.20,343.7500,86.1875,176.1875,1,1,2,0
150144,18.10,989.94,2.13,34.7259674,86.6398086,0.0000000,207.20,343.6875,86.1250,176.1250,1,1,2,0
151221,18.10,989.93,2.22,34.7259635,86.6398086,0.0000000,207.20,343.8750,86.2500,176.2500,1,1,2,0
152297,18.10,989.96,1.96,34.7259635,86.6398086,0.0000000,207.20,343.8750,86.2500,176.2500,1,1,2,0
153372,18.20,990.11,0.68,34.7259597,86.6398086,0.0000000,207.20,343.8125,86.1875,176.2500,1,1,2,0
154448,18.20,990.10,0.77,34.7259597,86.6398086,0.0000000,207.20,343.6250,86.0000,176.0000,1,1,2,0
155525,18.20,990.13,0.51,34.7259597,86.6398086,0.0000000,207.20,343.6875,86.0625,176.1250,1,1,2,0
156601,18.20,990.10,0.77,34.7259597,86.6398086,0.0000000,207.20,343.5000,85.8125,175.8750,1,1,2,0
157677,18.20,990.06,1.11,34.7259597,86.6398086,0.0000000,207.20,343.6250,85.9375,176.0000,1,1,2,0
158753,18.20,990.14,0.43,34.7259597,86.6398086,0.0000000,207.20,343.5625,85.8750,175.9375,1,1,2,0
159828,18.20,990.11,0.68,34.7259597,86.6398086,0.0000000,207.20,343.6875,86.0000,176.0625,1,1,2,0
160988,18.20,990.05,1.19,34.7259597,86.6398086,0.0000000,207.20,343.6250,85.9375,176.0000,1,1,2,0
162073,18.30,990.20,-0.09,34.7259597,86.6398086,0.0000000,207.20,343.5625,85.8750,175.9375,1,1,2,0
163150,18.30,990.17,0.17,34.7259597,86.6398086,0.0000000,207.20,343.4375,85.7500,175.8125,1,1,2,0
164227,18.30,990.13,0.51,34.7259635,86.6398086,0.0000000,207.20,343.6250,85.9375,176.0000,1,1,2,0
165302,18.30,990.15,0.34,34.7259635,86.6398086,0.0000000,207.20,343.6250,85.9375,176.0000,1,1,2,0
166378,18.30,990.13,0.51,34.7259674,86.6398086,0.0000000,207.20,343.6250,85.9375,176.0000,1,1,2,0
167454,18.30,990.11,0.68,34.7259674,86.6398086,0.0000000,207.20,343.6250,85.9375,176.0000,1,1,2,0
168531,18.30,990.27,-0.69,34.7259674,86.6398086,0.0000000,207.20,343.5625,85.9375,175.9375,1,1,2,0
169610,18.30,990.20,-0.09,34.7259712,86.6398086,0.0000000,207.20,343.5625,85.8750,175.9375,1,1,2,0
170687,18.30,990.12,0.60,34.7259712,86.6398086,0.0000000,207.20,343.5625,85.9375,175.9375,1,1,2,0
171763,18.30,990.13,0.51,34.7259712,86.6398086,0.0000000,207.20,343.5000,85.8125,175.8750,1,1,2,0
172937,18.30,990.18,0.09,34.7259712,86.6398086,0.0000000,207.20,343.6250,85.9375,176.0000,1,1,2,0
174012,18.30,990.19,0.00,34.7259712,86.6398086,0.0000000,207.20,343.6875,85.9375,176.0625,1,1,2,0
175088,18.30,990.16,0.26,34.7259712,86.6398086,0.0000000,207.20,343.6875,85.9375,176.0625,1,1,2,0
176164,18.30,990.14,0.43,34.7259712,86.6398086,0.0000000,207.20,343.4375,85.6875,175.7500,1,1,2,0
177241,18.30,990.19,0.00,34.7259712,86.6398086,0.0000000,207.20,343.2500,85.5625,175.6250,1,1,2,0
178318,18.30,990.20,-0.09,34.7259712,86.6398086,0.0000000,207.20,343.3125,85.6250,175.6875,1,1,2,0
179396,18.30,990.14,0.43,34.7259712,86.6398086,0.0000000,207.20,342.9375,85.2500,175.3125,1,1,2,0
180472,18.30,990.19,0.00,34.7259712,86.6398086,0.0000000,207.20,342.8125,85.1250,175.1875,1,1,2,0
181548,18.30,990.19,0.00,34.7259712,86.6398086,0.0000000,207.20,342.5000,84.8125,174.8125,1,1,2,0
182624,18.30,990.17,0.17,34.7259712,86.6398086,0.0000000,207.20,343.9375,85.8750,175.9375,1,1,2,0
183739,18.30,990.11,0.68,34.7259712,86.6398086,0.0000000,207.30,343.8750,85.8125,175.8125,1,1,2,0
184907,18.30,990.16,0.26,34.7259712,86.6398086,0.0000000,207.30,343.9375,85.7500,175.7500,1,1,2,0
185985,18.30,990.14,0.43,34.7259712,86.6398086,0.0000000,207.30,343.6250,85.3750,175.3750,1,1,2,0
187060,18.40,990.17,0.17,34.7259712,86.6398086,0.0000000,207.30,344.0625,85.8750,175.8750,1,1,2,0
188136,18.30,990.15,0.34,34.7259712,86.6398086,0.0000000,207.30,344.0625,85.8125,175.8750,1,1,2,0
189212,18.30,990.14,0.43,34.7259712,86.6398086,0.0000000,207.30,344.0000,85.7500,175.7500,1,1,2,0
190289,18.40,990.13,0.51,34.7259712,86.6398086,0.0000000,207.30,344.0000,85.7500,175.8125,1,1,2,0
191367,18.40,990.14,0.43,34.7259712,86.6398086,0.0000000,207.30,343.5000,85.3125,175.3125,1,1,2,0
192442,18.40,990.15,0.34,34.7259712,86.6398086,0.0000000,207.30,343.8750,85.6875,175.6875,1,1,2,0
193519,18.40,990.11,0.68,34.7259750,86.6398086,0.0000000,207.30,343.8125,85.5625,175.5625,1,1,2,0
194595,18.40,990.10,0.77,34.7259750,86.6398086,0.0000000,207.30,344.1250,85.8750,175.8750,1,1,2,0
195738,18.40,990.09,0.85,34.7259750,86.6398086,0.0000000,207.30,343.1875,84.9375,5.0000,1,1,2,0
196830,18.40,990.12,0.60,34.7259750,86.6398086,0.0000000,207.30,343.5625,85.4375,4.5000,1,1,2,0
197904,18.40,990.19,0.00,34.7259750,86.6398086,0.0000000,207.30,343.4375,85.2500,4.6875,1,1,2,0
198979,18.40,990.06,1.11,34.7259750,86.6398086,0.0000000,207.30,343.3125,85.0625,4.8750,1,1,2,0
200053,18.40,990.12,0.60,34.7259750,86.6398086,0.0000000,207.30,343.5000,85.3125,4.6250,1,1,2,0
201127,18.40,990.09,0.85,34.7259788,86.6398086,0.0000000,207.30,343.9375,85.6875,4.2500,1,1,2,0
202202,18.40,990.05,1.19,34.7259788,86.6398086,0.0000000,207.30,343.8750,85.6250,4.3125,1,1,2,0
203275,18.40,990.10,0.77,34.7259788,86.6398086,0.0000000,207.30,343.9375,85.6875,175.7500,1,1,2,0
204351,18.40,990.12,0.60,34.7259788,86.6398086,0.0000000,207.30,344.0000,85.7500,175.7500,1,1,2,0
205427,18.40,990.07,1.02,34.7259864,86.6398086,0.0000000,207.30,343.8750,85.5625,175.5625,1,1,2,0
206504,18.40,990.07,1.02,34.7259864,86.6398086,0.0000000,207.30,344.0625,85.7500,4.1875,1,1,2,0
207647,18.40,990.05,1.19,34.7259864,86.6398086,0.0000000,207.30,343.8125,85.5000,175.5000,1,1,2,0
208745,18.40,990.02,1.45,34.7259864,86.6398086,0.0000000,207.30,344.0000,85.6875,175.6875,1,1,2,0
209821,18.40,990.13,0.51,34.7259864,86.6398086,0.0000000,207.30,343.8750,85.5000,175.5000,1,1,2,0
210897,18.40,990.04,1.28,34.7259864,86.6398086,0.0000000,207.30,344.0625,85.6250,4.3125,1,1,2,0
211973,18.40,990.04,1.28,34.7259864,86.6398086,0.0000000,207.40,344.1875,85.6875,4.1875,1,1,2,0
213047,18.40,990.07,1.02,34.7259788,86.6398086,0.0000000,207.40,343.8125,85.3125,4.6250,1,1,2,0
214121,18.40,990.12,0.60,34.7259788,86.6398239,0.0000000,207.40,343.7500,85.3125,4.6250,1,1,2,0
215195,18.40,990.10,0.77,34.7259788,86.6398239,0.0000000,207.40,343.4375,85.0000,4.9375,1,1,2,0
216270,18.50,990.08,0.94,34.7259750,86.6398239,0.0000000,207.40,343.5625,85.0625,4.8750,1,1,2,0
217345,18.50,990.04,1.28,34.7259750,86.6398239,0.0000000,207.40,343.4375,85.0000,4.9375,1,1,2,0
218420,18.50,990.09,0.85,34.7259750,86.6398239,0.0000000,207.40,343.8125,85.3750,4.5625,1,1,2,0
219552,18.50,990.22,-0.26,34.7259712,86.6398239,0.0000000,207.40,343.8750,85.4375,4.5000,1,1,2,0
220670,18.50,990.08,0.94,34.7259712,86.6398239,0.0000000,207.40,344.1875,85.6875,4.2500,1,1,2,0
221745,18.50,990.15,0.34,34.7259674,86.6398239,0.0000000,207.40,344.1875,85.7500,4.1875,1,1,2,0
